3000
3.e-4 3.e-4 5.4e-4
0.00022763 0.000155003 3.28275e-05 1.2794e-05
0.000204187 0.000165777 1.07913e-05 1.0791e-05
0.000236552 0.000133701 2.29877e-05 1.22605e-05
0.00024372 0.000153103 1.1432e-05 1.1432e-05
0.000264588 0.000147635 1.01795e-05 1.0177e-05
0.000251418 0.000147952 3.4044e-05 1.11135e-05
0.000284834 0.000136103 1.3336e-05 1.3336e-05
0.000274802 0.000155618 3.44114e-05 1.3497e-05
2.87934e-05 0.000198444 1.60025e-05 1.60025e-05
8.85702e-06 0.000186533 3.45571e-05 1.3723e-05
1.58342e-06 0.000195764 1.05151e-05 1.0276e-05
4.11036e-05 0.000174992 1.01775e-05 1.01775e-05
6.25687e-05 0.000174532 1.96253e-05 1.26675e-05
5.55766e-05 0.000195903 1.13075e-05 1.13075e-05
8.49499e-05 0.000186249 1.22995e-05 1.22995e-05
7.08166e-05 0.00019653 2.52743e-05 9.3735e-06
0.000102056 0.000169261 9.898e-06 9.898e-06
0.000122784 0.000182778 1.22085e-05 1.22085e-05
0.000103926 0.000182219 2.77839e-05 1.22565e-05
0.000140422 0.000181587 2.50288e-05 9.629e-06
0.000153618 0.000171236 1.1758e-05 1.1758e-05
0.000160977 0.000183148 3.00798e-05 9.9795e-06
0.000146363 0.000195178 1.08725e-05 1.08725e-05
0.000147831 0.000199012 3.26573e-05 1.0785e-05
0.000169673 0.000196397 1.39052e-05 1.2665e-05
0.000188504 0.000183295 1.0523e-05 1.0523e-05
0.000180945 0.000189672 3.26436e-05 1.0189e-05
0.000200953 0.000182638 2.85321e-05 1.138e-05
0.000222961 0.000182581 1.4644e-05 1.4644e-05
0.000244897 0.000171822 2.59041e-05 1.22585e-05
0.000263513 0.000169579 1.13386e-05 1.13385e-05
0.000251736 0.000190326 1.19215e-05 1.19215e-05
0.000295661 0.000166722 1.6285e-05 1.6285e-05
0.000277484 0.00019071 1.3906e-05 1.3906e-05
9.72275e-06 0.000224253 1.60885e-05 1.60885e-05
3.37095e-05 0.000221987 2.93024e-05 1.1388e-05
5.60171e-05 0.000222009 1.5072e-05 1.5072e-05
8.11564e-05 0.000210709 1.23945e-05 1.23945e-05
7.71154e-05 0.000222958 3.32373e-05 1.2116e-05
9.25924e-05 0.000202077 3.06105e-05 1.07815e-05
0.000102809 0.000201444 1.11765e-05 1.11765e-05
0.000126334 0.00020859 2.12455e-05 1.53695e-05
0.000143034 0.000229759 1.28655e-05 1.28655e-05
0.000169377 0.000223343 1.42855e-05 1.42855e-05
0.000197312 0.000208835 1.73395e-05 1.73395e-05
0.000221375 0.000231976 1.3247e-05 1.3247e-05
0.000230511 0.000208237 1.2212e-05 1.22105e-05
0.000220302 0.000215536 3.51433e-05 1.25005e-05
0.000249488 0.000228971 1.5058e-05 1.5058e-05
0.000246878 0.000205275 3.49844e-05 1.59885e-05
0.000284102 0.00021157 8.56475e-06 8.5595e-06
0.00027152 0.000218786 2.87322e-05 1.28015e-05
0.000292672 0.000205721 2.86781e-05 1.20595e-05
2.50302e-05 0.000261521 1.44875e-05 1.44875e-05
3.40081e-05 0.000237062 1.1714e-05 1.1714e-05
4.59129e-05 0.000238227 2.60788e-05 6.979e-06
5.81548e-05 0.000252408 1.48589e-05 1.4858e-05
7.96939e-05 0.000235794 1.24505e-05 1.24505e-05
8.99856e-05 0.000261615 1.3853e-05 1.3853e-05
7.76488e-05 0.000249308 3.15674e-05 1.09955e-05
0.000100348 0.000240267 2.78091e-05 1.36735e-05
0.000121982 0.000244693 1.29455e-05 1.29455e-05
0.000145491 0.000256386 1.33169e-05 1.3314e-05
0.000154121 0.00024149 2.94379e-05 1.0269e-05
0.00017864 0.000255535 1.96405e-05 1.96385e-05
0.000203265 0.000244283 9.00452e-06 8.9635e-06
0.000214023 0.000262178 1.21235e-05 1.21235e-05
0.000233029 0.000235348 3.43111e-05 1.1061e-05
0.000210769 0.000246993 3.08373e-05 1.21945e-05
0.000234487 0.000253572 9.30909e-06 9.2955e-06
0.000262704 0.000259578 1.8451e-05 1.8451e-05
0.000266898 0.000236715 2.12179e-05 4.958e-06
0.000283109 0.000236023 1.3159e-05 1.3159e-05
0.000292432 0.000253162 3.1589e-05 1.368e-05
2.35645e-05 0.000292784 1.67965e-05 1.67965e-05
4.6722e-05 0.000276471 1.19425e-05 1.19425e-05
5.7478e-05 0.000272605 3.43822e-05 1.32405e-05
7.31197e-05 0.000282123 1.35296e-05 1.26575e-05
0.000131587 0.000299449 1.8342e-05 1.8342e-05
0.000116198 0.000270252 2.23886e-05 1.49095e-05
0.000134718 0.000274657 8.441e-06 8.441e-06
0.000159224 0.000272694 8.5355e-06 8.5355e-06
0.00015567 0.00027874 3.03324e-05 1.43615e-05
0.00017956 0.000290563 1.563e-05 1.563e-05
0.000197203 0.000274535 8.9825e-06 8.9825e-06
0.000197696 0.00027762 3.20699e-05 1.20595e-05
0.000205496 0.000287118 1.53817e-05 7.39e-06
0.000228691 0.000285705 1.58515e-05 1.58515e-05
0.000210513 0.000295919 3.51155e-05 1.0489e-05
0.000253784 0.000291051 1.03815e-05 1.03815e-05
0.000249255 0.000280132 2.23166e-05 6.4135e-06
0.000299115 0.000273907 1.4201e-05 1.4201e-05
0.000275401 0.000285767 1.14888e-05 1.1474e-05
0.000281583 0.00027822 3.27586e-05 1.16905e-05
1.24065e-05 1.52882e-05 3.84837e-05 1.6389e-05
2.91436e-05 1.55206e-05 6.27641e-05 1.3102e-05
1.00534e-05 3.20686e-05 5.59542e-05 7.949e-06
4.89725e-05 2.08216e-05 4.63916e-05 1.30455e-05
7.44181e-05 2.71689e-05 5.8369e-05 1.57855e-05
8.99777e-05 7.59185e-06 5.17657e-05 8.9615e-06
0.000109175 3.13083e-05 5.02736e-05 1.3502e-05
